OBJECTID,Date,Time,Location,City,Latitude,Longitude,Direction,Type,Lanes_Bloc,Involved,Tweet,Source
672,2018-09-12 00:00:00,7:24 AM,EDSA NORTH AVE.,Quezon City,14.655615,121.029875,NB,VEHICULAR ACCIDENT,1,CAR AND AUV,MMDA ALERT: Vehicular accident at EDSA North Ave. NB involving car and AUV as of 7:24 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1040020916376227840
673,2018-09-12 00:00:00,7:30 AM,KATIPUNAN MIRIAM,Quezon City,14.644291,121.074626,NB,VEHICULAR ACCIDENT,1,CAR AND MC,MMDA ALERT: Vehicular accident at Katipunan Miriam NB involving car and MC as of 7:30 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1040021094604759040
674,2018-09-13 00:00:00,7:44 AM,EDSA AYALA TUNNEL,Makati City,14.550028,121.029058,NB,STALLED CAR DUE TO MECHANICAL PROBLEM,1,CAR,MMDA ALERT: Stalled car due to mechanical problem at EDSA Ayala tunnel NB as of 7:44 AM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1040029242652672001
675,2018-09-13 00:00:00,8:27 AM,KATIPUNAN ATENEO,Quezon City,14.638481,121.07454,SB,VEHICULAR ACCIDENT,1,CAR AND MC,MMDA ALERT: Vehicular accident at Katipunan Ateneo SB involving car and MC as of 8:27 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1040041481870880768
676,2018-09-13 00:00:00,9:00 AM,COMMONWEALTH AFTER LOYOLA,Quezon City,14.66533,121.070469,EB,VEHICULAR ACCIDENT,1,SUV AND MC,MMDA ALERT: Vehicular accident at Commonwealth after Loyola EB involving SUV and MC as of 9:00 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1040047253606395904
677,2018-09-13 00:00:00,9:41 AM,EDSA SANTOLAN FLYOVER,Quezon City,14.609768,121.055583,SB,VEHICULAR ACCIDENT,1,CAR AND SUV,MMDA ALERT: Vehicular accident at EDSA Santolan f/o SB involving car and SUV as of 9:41 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1040054956873539585
678,2018-09-13 00:00:00,9:30 AM,EDSA MRT NORTH AVE.,Quezon City,14.654249,121.031008,NB,VEHICULAR ACCIDENT,1,CAR AND VAN,MMDA ALERT: Vehicular accident at EDSA MRT North Ave. NB involving car and van as of 9:30 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1040057425913569280
679,2018-09-13 00:00:00,10:35 AM,EDSA BONI,Mandaluyong,14.574014,121.04841,SB,VEHICULAR ACCIDENT,1,SUV AND MMDA PERSONNEL,MMDA ALERT: Vehicular accident at EDSA Boni SB involving SUV and MMDA personnel as of 10:35 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1040069272590987264
680,2018-09-13 00:00:00,10:36 AM,AGHAM ROAD,Quezon City,14.649841,121.03933,NB,VEHICULAR ACCIDENT,1,SUV AND CAR,MMDA ALERT: Vehicular accident at Agham road NB involving SUV and car as of 10:36 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1040069446583250945
681,2018-09-13 00:00:00,10:53 AM,EDSA AURORA,Quezon City,14.621564,121.050149,SB,STALLED BUS DUE TO MECHANICAL PROBLEM,1,BUS,MMDA ALERT: Stalled bus due to mechanical problem at EDSA Aurora SB as of 10:53 AM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1040075873989214208
682,2018-09-13 00:00:00,11:40 AM,QUEZON AVE. ARANETA,Quezon City,14.628351,121.013365,WB,VEHICULAR ACCIDENT,1,SUV AND L300,MMDA ALERT: Vehicular accident at Quezon Ave. Araneta WB involving SUV and L300 as of 11:40 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1040084446744010752
